state,element left,element right,element up,element down
0,empty,empty,empty,empty
1,empty,empty,empty,water
2,empty,empty,empty,car
3,empty,empty,empty,log
4,empty,empty,empty,lilypad
5,empty,empty,empty,out-bounds
6,empty,empty,water,empty
7,empty,empty,water,water
8,empty,empty,water,car
9,empty,empty,water,log
10,empty,empty,water,lilypad
11,empty,empty,water,out-bounds
12,empty,empty,car,empty
13,empty,empty,car,water
14,empty,empty,car,car
15,empty,empty,car,log
16,empty,empty,car,lilypad
17,empty,empty,car,out-bounds
18,empty,empty,log,empty
19,empty,empty,log,water
20,empty,empty,log,car
21,empty,empty,log,log
22,empty,empty,log,lilypad
23,empty,empty,log,out-bounds
24,empty,empty,lilypad,empty
25,empty,empty,lilypad,water
26,empty,empty,lilypad,car
27,empty,empty,lilypad,log
28,empty,empty,lilypad,lilypad
29,empty,empty,lilypad,out-bounds
30,empty,empty,out-bounds,empty
31,empty,empty,out-bounds,water
32,empty,empty,out-bounds,car
33,empty,empty,out-bounds,log
34,empty,empty,out-bounds,lilypad
35,empty,empty,out-bounds,out-bounds
36,empty,water,empty,empty
37,empty,water,empty,water
38,empty,water,empty,car
39,empty,water,empty,log
40,empty,water,empty,lilypad
41,empty,water,empty,out-bounds
42,empty,water,water,empty
43,empty,water,water,water
44,empty,water,water,car
45,empty,water,water,log
46,empty,water,water,lilypad
47,empty,water,water,out-bounds
48,empty,water,car,empty
49,empty,water,car,water
50,empty,water,car,car
51,empty,water,car,log
52,empty,water,car,lilypad
53,empty,water,car,out-bounds
54,empty,water,log,empty
55,empty,water,log,water
56,empty,water,log,car
57,empty,water,log,log
58,empty,water,log,lilypad
59,empty,water,log,out-bounds
60,empty,water,lilypad,empty
61,empty,water,lilypad,water
62,empty,water,lilypad,car
63,empty,water,lilypad,log
64,empty,water,lilypad,lilypad
65,empty,water,lilypad,out-bounds
66,empty,water,out-bounds,empty
67,empty,water,out-bounds,water
68,empty,water,out-bounds,car
69,empty,water,out-bounds,log
70,empty,water,out-bounds,lilypad
71,empty,water,out-bounds,out-bounds
72,empty,car,empty,empty
73,empty,car,empty,water
74,empty,car,empty,car
75,empty,car,empty,log
76,empty,car,empty,lilypad
77,empty,car,empty,out-bounds
78,empty,car,water,empty
79,empty,car,water,water
80,empty,car,water,car
81,empty,car,water,log
82,empty,car,water,lilypad
83,empty,car,water,out-bounds
84,empty,car,car,empty
85,empty,car,car,water
86,empty,car,car,car
87,empty,car,car,log
88,empty,car,car,lilypad
89,empty,car,car,out-bounds
90,empty,car,log,empty
91,empty,car,log,water
92,empty,car,log,car
93,empty,car,log,log
94,empty,car,log,lilypad
95,empty,car,log,out-bounds
96,empty,car,lilypad,empty
97,empty,car,lilypad,water
98,empty,car,lilypad,car
99,empty,car,lilypad,log
100,empty,car,lilypad,lilypad
101,empty,car,lilypad,out-bounds
102,empty,car,out-bounds,empty
103,empty,car,out-bounds,water
104,empty,car,out-bounds,car
105,empty,car,out-bounds,log
106,empty,car,out-bounds,lilypad
107,empty,car,out-bounds,out-bounds
108,empty,log,empty,empty
109,empty,log,empty,water
110,empty,log,empty,car
111,empty,log,empty,log
112,empty,log,empty,lilypad
113,empty,log,empty,out-bounds
114,empty,log,water,empty
115,empty,log,water,water
116,empty,log,water,car
117,empty,log,water,log
118,empty,log,water,lilypad
119,empty,log,water,out-bounds
120,empty,log,car,empty
121,empty,log,car,water
122,empty,log,car,car
123,empty,log,car,log
124,empty,log,car,lilypad
125,empty,log,car,out-bounds
126,empty,log,log,empty
127,empty,log,log,water
128,empty,log,log,car
129,empty,log,log,log
130,empty,log,log,lilypad
131,empty,log,log,out-bounds
132,empty,log,lilypad,empty
133,empty,log,lilypad,water
134,empty,log,lilypad,car
135,empty,log,lilypad,log
136,empty,log,lilypad,lilypad
137,empty,log,lilypad,out-bounds
138,empty,log,out-bounds,empty
139,empty,log,out-bounds,water
140,empty,log,out-bounds,car
141,empty,log,out-bounds,log
142,empty,log,out-bounds,lilypad
143,empty,log,out-bounds,out-bounds
144,empty,lilypad,empty,empty
145,empty,lilypad,empty,water
146,empty,lilypad,empty,car
147,empty,lilypad,empty,log
148,empty,lilypad,empty,lilypad
149,empty,lilypad,empty,out-bounds
150,empty,lilypad,water,empty
151,empty,lilypad,water,water
152,empty,lilypad,water,car
153,empty,lilypad,water,log
154,empty,lilypad,water,lilypad
155,empty,lilypad,water,out-bounds
156,empty,lilypad,car,empty
157,empty,lilypad,car,water
158,empty,lilypad,car,car
159,empty,lilypad,car,log
160,empty,lilypad,car,lilypad
161,empty,lilypad,car,out-bounds
162,empty,lilypad,log,empty
163,empty,lilypad,log,water
164,empty,lilypad,log,car
165,empty,lilypad,log,log
166,empty,lilypad,log,lilypad
167,empty,lilypad,log,out-bounds
168,empty,lilypad,lilypad,empty
169,empty,lilypad,lilypad,water
170,empty,lilypad,lilypad,car
171,empty,lilypad,lilypad,log
172,empty,lilypad,lilypad,lilypad
173,empty,lilypad,lilypad,out-bounds
174,empty,lilypad,out-bounds,empty
175,empty,lilypad,out-bounds,water
176,empty,lilypad,out-bounds,car
177,empty,lilypad,out-bounds,log
178,empty,lilypad,out-bounds,lilypad
179,empty,lilypad,out-bounds,out-bounds
180,empty,out-bounds,empty,empty
181,empty,out-bounds,empty,water
182,empty,out-bounds,empty,car
183,empty,out-bounds,empty,log
184,empty,out-bounds,empty,lilypad
185,empty,out-bounds,empty,out-bounds
186,empty,out-bounds,water,empty
187,empty,out-bounds,water,water
188,empty,out-bounds,water,car
189,empty,out-bounds,water,log
190,empty,out-bounds,water,lilypad
191,empty,out-bounds,water,out-bounds
192,empty,out-bounds,car,empty
193,empty,out-bounds,car,water
194,empty,out-bounds,car,car
195,empty,out-bounds,car,log
196,empty,out-bounds,car,lilypad
197,empty,out-bounds,car,out-bounds
198,empty,out-bounds,log,empty
199,empty,out-bounds,log,water
200,empty,out-bounds,log,car
201,empty,out-bounds,log,log
202,empty,out-bounds,log,lilypad
203,empty,out-bounds,log,out-bounds
204,empty,out-bounds,lilypad,empty
205,empty,out-bounds,lilypad,water
206,empty,out-bounds,lilypad,car
207,empty,out-bounds,lilypad,log
208,empty,out-bounds,lilypad,lilypad
209,empty,out-bounds,lilypad,out-bounds
210,empty,out-bounds,out-bounds,empty
211,empty,out-bounds,out-bounds,water
212,empty,out-bounds,out-bounds,car
213,empty,out-bounds,out-bounds,log
214,empty,out-bounds,out-bounds,lilypad
215,empty,out-bounds,out-bounds,out-bounds
216,water,empty,empty,empty
217,water,empty,empty,water
218,water,empty,empty,car
219,water,empty,empty,log
220,water,empty,empty,lilypad
221,water,empty,empty,out-bounds
222,water,empty,water,empty
223,water,empty,water,water
224,water,empty,water,car
225,water,empty,water,log
226,water,empty,water,lilypad
227,water,empty,water,out-bounds
228,water,empty,car,empty
229,water,empty,car,water
230,water,empty,car,car
231,water,empty,car,log
232,water,empty,car,lilypad
233,water,empty,car,out-bounds
234,water,empty,log,empty
235,water,empty,log,water
236,water,empty,log,car
237,water,empty,log,log
238,water,empty,log,lilypad
239,water,empty,log,out-bounds
240,water,empty,lilypad,empty
241,water,empty,lilypad,water
242,water,empty,lilypad,car
243,water,empty,lilypad,log
244,water,empty,lilypad,lilypad
245,water,empty,lilypad,out-bounds
246,water,empty,out-bounds,empty
247,water,empty,out-bounds,water
248,water,empty,out-bounds,car
249,water,empty,out-bounds,log
250,water,empty,out-bounds,lilypad
251,water,empty,out-bounds,out-bounds
252,water,water,empty,empty
253,water,water,empty,water
254,water,water,empty,car
255,water,water,empty,log
256,water,water,empty,lilypad
257,water,water,empty,out-bounds
258,water,water,water,empty
259,water,water,water,water
260,water,water,water,car
261,water,water,water,log
262,water,water,water,lilypad
263,water,water,water,out-bounds
264,water,water,car,empty
265,water,water,car,water
266,water,water,car,car
267,water,water,car,log
268,water,water,car,lilypad
269,water,water,car,out-bounds
270,water,water,log,empty
271,water,water,log,water
272,water,water,log,car
273,water,water,log,log
274,water,water,log,lilypad
275,water,water,log,out-bounds
276,water,water,lilypad,empty
277,water,water,lilypad,water
278,water,water,lilypad,car
279,water,water,lilypad,log
280,water,water,lilypad,lilypad
281,water,water,lilypad,out-bounds
282,water,water,out-bounds,empty
283,water,water,out-bounds,water
284,water,water,out-bounds,car
285,water,water,out-bounds,log
286,water,water,out-bounds,lilypad
287,water,water,out-bounds,out-bounds
288,water,car,empty,empty
289,water,car,empty,water
290,water,car,empty,car
291,water,car,empty,log
292,water,car,empty,lilypad
293,water,car,empty,out-bounds
294,water,car,water,empty
295,water,car,water,water
296,water,car,water,car
297,water,car,water,log
298,water,car,water,lilypad
299,water,car,water,out-bounds
300,water,car,car,empty
301,water,car,car,water
302,water,car,car,car
303,water,car,car,log
304,water,car,car,lilypad
305,water,car,car,out-bounds
306,water,car,log,empty
307,water,car,log,water
308,water,car,log,car
309,water,car,log,log
310,water,car,log,lilypad
311,water,car,log,out-bounds
312,water,car,lilypad,empty
313,water,car,lilypad,water
314,water,car,lilypad,car
315,water,car,lilypad,log
316,water,car,lilypad,lilypad
317,water,car,lilypad,out-bounds
318,water,car,out-bounds,empty
319,water,car,out-bounds,water
320,water,car,out-bounds,car
321,water,car,out-bounds,log
322,water,car,out-bounds,lilypad
323,water,car,out-bounds,out-bounds
324,water,log,empty,empty
325,water,log,empty,water
326,water,log,empty,car
327,water,log,empty,log
328,water,log,empty,lilypad
329,water,log,empty,out-bounds
330,water,log,water,empty
331,water,log,water,water
332,water,log,water,car
333,water,log,water,log
334,water,log,water,lilypad
335,water,log,water,out-bounds
336,water,log,car,empty
337,water,log,car,water
338,water,log,car,car
339,water,log,car,log
340,water,log,car,lilypad
341,water,log,car,out-bounds
342,water,log,log,empty
343,water,log,log,water
344,water,log,log,car
345,water,log,log,log
346,water,log,log,lilypad
347,water,log,log,out-bounds
348,water,log,lilypad,empty
349,water,log,lilypad,water
350,water,log,lilypad,car
351,water,log,lilypad,log
352,water,log,lilypad,lilypad
353,water,log,lilypad,out-bounds
354,water,log,out-bounds,empty
355,water,log,out-bounds,water
356,water,log,out-bounds,car
357,water,log,out-bounds,log
358,water,log,out-bounds,lilypad
359,water,log,out-bounds,out-bounds
360,water,lilypad,empty,empty
361,water,lilypad,empty,water
362,water,lilypad,empty,car
363,water,lilypad,empty,log
364,water,lilypad,empty,lilypad
365,water,lilypad,empty,out-bounds
366,water,lilypad,water,empty
367,water,lilypad,water,water
368,water,lilypad,water,car
369,water,lilypad,water,log
370,water,lilypad,water,lilypad
371,water,lilypad,water,out-bounds
372,water,lilypad,car,empty
373,water,lilypad,car,water
374,water,lilypad,car,car
375,water,lilypad,car,log
376,water,lilypad,car,lilypad
377,water,lilypad,car,out-bounds
378,water,lilypad,log,empty
379,water,lilypad,log,water
380,water,lilypad,log,car
381,water,lilypad,log,log
382,water,lilypad,log,lilypad
383,water,lilypad,log,out-bounds
384,water,lilypad,lilypad,empty
385,water,lilypad,lilypad,water
386,water,lilypad,lilypad,car
387,water,lilypad,lilypad,log
388,water,lilypad,lilypad,lilypad
389,water,lilypad,lilypad,out-bounds
390,water,lilypad,out-bounds,empty
391,water,lilypad,out-bounds,water
392,water,lilypad,out-bounds,car
393,water,lilypad,out-bounds,log
394,water,lilypad,out-bounds,lilypad
395,water,lilypad,out-bounds,out-bounds
396,water,out-bounds,empty,empty
397,water,out-bounds,empty,water
398,water,out-bounds,empty,car
399,water,out-bounds,empty,log
400,water,out-bounds,empty,lilypad
401,water,out-bounds,empty,out-bounds
402,water,out-bounds,water,empty
403,water,out-bounds,water,water
404,water,out-bounds,water,car
405,water,out-bounds,water,log
406,water,out-bounds,water,lilypad
407,water,out-bounds,water,out-bounds
408,water,out-bounds,car,empty
409,water,out-bounds,car,water
410,water,out-bounds,car,car
411,water,out-bounds,car,log
412,water,out-bounds,car,lilypad
413,water,out-bounds,car,out-bounds
414,water,out-bounds,log,empty
415,water,out-bounds,log,water
416,water,out-bounds,log,car
417,water,out-bounds,log,log
418,water,out-bounds,log,lilypad
419,water,out-bounds,log,out-bounds
420,water,out-bounds,lilypad,empty
421,water,out-bounds,lilypad,water
422,water,out-bounds,lilypad,car
423,water,out-bounds,lilypad,log
424,water,out-bounds,lilypad,lilypad
425,water,out-bounds,lilypad,out-bounds
426,water,out-bounds,out-bounds,empty
427,water,out-bounds,out-bounds,water
428,water,out-bounds,out-bounds,car
429,water,out-bounds,out-bounds,log
430,water,out-bounds,out-bounds,lilypad
431,water,out-bounds,out-bounds,out-bounds
432,car,empty,empty,empty
433,car,empty,empty,water
434,car,empty,empty,car
435,car,empty,empty,log
436,car,empty,empty,lilypad
437,car,empty,empty,out-bounds
438,car,empty,water,empty
439,car,empty,water,water
440,car,empty,water,car
441,car,empty,water,log
442,car,empty,water,lilypad
443,car,empty,water,out-bounds
444,car,empty,car,empty
445,car,empty,car,water
446,car,empty,car,car
447,car,empty,car,log
448,car,empty,car,lilypad
449,car,empty,car,out-bounds
450,car,empty,log,empty
451,car,empty,log,water
452,car,empty,log,car
453,car,empty,log,log
454,car,empty,log,lilypad
455,car,empty,log,out-bounds
456,car,empty,lilypad,empty
