state,action,next-state,count
0,0,0,200
0,0,2,20
0,0,12,8
0,0,14,1
0,0,432,45
0,0,434,1
0,0,444,1
0,0,1080,23
0,1,0,177
0,1,2,4
0,1,12,13
0,1,14,1
0,1,72,14
0,1,74,1
0,1,84,1
0,1,180,7
0,2,0,258
0,2,6,32
0,2,12,39
0,2,18,6
0,2,72,13
0,2,84,2
0,2,432,15
0,2,444,1
0,3,0,66
0,3,2,11
0,3,5,85
0,3,72,2
0,3,74,2
0,3,432,5
0,3,434,1
2,0,0,6
2,0,2,43
2,0,12,1
2,0,14,5
2,0,434,3
2,0,1080,2
2,0,1082,6
2,1,0,9
2,1,2,27
2,1,12,2
2,1,14,4
2,1,74,2
2,1,182,1
2,2,0,25
2,2,6,3
2,2,12,15
2,2,18,3
2,2,72,2
2,2,432,4
2,2,444,1
2,3,72,3
2,3,74,2
2,3,432,13
2,3,1295,17
5,0,5,173
5,0,17,45
5,0,1085,13
5,0,1097,2
5,1,5,182
5,1,17,11
5,1,185,4
5,2,0,198
5,2,12,53
5,2,72,12
5,2,84,7
5,2,432,32
5,2,444,7
5,3,5,176
5,3,17,12
6,0,6,39
6,0,8,10
6,0,18,15
6,0,20,2
6,0,1086,2
6,0,1098,2
6,1,6,24
6,1,18,1
6,2,1295,7
6,3,0,10
8,0,6,1
8,0,8,10
8,0,18,1
8,0,20,8
8,0,1088,2
8,1,6,3
8,1,8,11
8,1,18,1
8,2,1295,4
8,3,432,2
8,3,434,1
8,3,1295,3
12,0,0,10
12,0,2,8
12,0,12,60
12,0,14,2
12,0,432,2
12,0,444,17
12,0,1080,2
12,0,1092,5
12,0,1094,1
12,1,0,18
12,1,2,1
12,1,12,58
12,1,14,4
12,1,72,1
12,1,84,6
12,1,86,1
12,1,180,2
12,1,192,3
12,1,194,1
12,2,72,6
12,2,84,2
12,2,434,1
12,2,444,2
12,2,1295,32
12,3,0,20
12,3,2,7
12,3,5,28
12,3,72,2
12,3,432,7
14,0,0,1
14,0,2,9
14,0,12,3
14,0,14,5
14,0,1082,1
14,0,1092,1
14,0,1094,1
14,1,2,2
14,1,12,5
14,1,14,10
14,1,74,1
14,1,86,2
14,2,72,3
14,2,84,1
14,2,432,1
14,2,1295,7
14,3,74,1
14,3,432,3
14,3,1295,6
17,0,5,47
17,0,17,114
17,0,1097,9
17,1,5,24
17,1,17,95
17,1,185,1
17,1,197,4
17,2,84,1
17,2,432,34
17,2,444,9
17,2,1295,57
17,3,5,5
17,3,17,113
18,0,6,2
18,0,8,1
18,0,18,6
18,0,20,2
18,0,1088,1
18,0,1098,2
18,1,6,2
18,1,18,10
18,2,330,8
18,2,342,2
18,2,690,7
18,2,702,7
18,2,762,2
18,2,774,4
18,2,1295,1
18,3,0,3
18,3,2,3
18,3,432,1
20,0,8,3
20,0,20,7
20,1,6,1
20,1,8,4
20,1,18,1
20,1,20,6
20,2,330,4
20,2,690,7
20,2,762,2
20,2,774,1
20,3,432,2
20,3,1295,2
72,0,0,7
72,0,12,1
72,0,14,1
72,0,72,7
72,0,84,2
72,0,1080,1
72,1,72,2
72,1,1295,10
72,2,0,3
72,2,2,13
72,2,6,1
72,2,14,3
72,2,18,1
72,2,84,2
72,2,434,3
72,2,446,2
72,3,5,5
72,3,12,6
72,3,14,2
72,3,84,1
72,3,444,1
72,3,1295,1
74,0,2,3
74,0,72,1
74,0,74,4
74,0,86,1
74,1,1295,2
74,2,2,3
74,2,14,3
74,2,434,1
74,3,444,1
74,3,1295,4
84,0,12,7
84,0,72,1
84,0,84,1
84,0,86,2
84,1,84,1
84,1,1295,5
84,2,72,1
84,2,434,2
84,2,446,1
84,2,1295,4
84,3,5,1
84,3,12,7
86,0,2,1
86,0,14,1
86,0,74,3
86,0,86,1
86,1,1295,2
86,2,434,1
86,2,1295,3
86,3,444,3
86,3,1295,1
180,0,0,3
180,0,72,1
180,1,180,10
180,1,192,1
180,2,180,3
180,2,192,3
180,2,1295,1
180,3,180,2
180,3,185,8
180,3,192,1
182,1,194,1
185,0,5,3
185,0,17,1
185,1,185,7
185,1,197,1
185,2,180,5
185,2,192,4
185,2,624,1
185,3,185,15
185,3,197,1
192,0,0,1
192,0,12,2
192,0,84,1
192,1,192,7
192,2,180,1
192,2,1295,2
192,3,180,3
192,3,185,3
194,0,14,1
194,1,194,2
194,2,192,1
194,2,1295,1
194,3,612,1
197,0,17,2
197,1,197,4
197,2,612,2
197,2,1295,2
197,3,197,9
330,0,1295,2
330,1,690,1
330,1,762,3
330,1,774,3
330,2,1295,2
330,3,18,4
330,3,20,2
331,1,343,1
331,2,1295,1
331,3,1295,1
333,1,765,1
333,2,1295,1
333,3,343,1
342,0,1295,1
342,1,774,3
342,2,703,1
342,2,775,1
342,3,18,2
343,0,331,1
343,1,765,1
343,1,775,1
343,2,333,1
345,0,331,1
345,1,777,2
345,3,1206,1
432,0,432,24
432,0,434,2
432,0,1295,22
432,1,0,9
432,1,2,1
432,1,12,3
432,1,432,27
432,1,444,6
432,2,0,3
432,2,2,38
432,2,8,6
432,2,12,6
432,2,14,17
432,2,20,5
432,2,72,1
432,2,74,5
432,2,84,1
432,2,86,8
432,2,1295,6
432,3,2,1
432,3,5,2
432,3,12,4
432,3,14,1
432,3,17,32
432,3,84,1
432,3,1295,1
434,0,432,1
434,0,434,1
434,0,1295,2
434,1,0,1
434,1,432,2
434,1,434,3
434,1,444,1
434,2,0,1
434,2,2,1
434,2,12,1
434,2,1295,1
434,3,72,1
434,3,84,2
434,3,432,1
434,3,1295,2
444,0,432,2
444,0,444,4
444,0,1295,14
444,1,0,3
444,1,12,5
444,1,432,3
444,1,444,9
444,2,74,1
444,2,434,1
444,2,1295,9
444,3,0,2
444,3,5,1
